Geography,CalendarYear,Concentration_Group,Quarter_Group_Name,Systems_By_Max_Concentration,People_By_Max_Concentration,Systems_By_Mean_Concentration,People_By_Mean_Concentration,County_Code1
Cambria,2010,MARSTELLER COMM WATER AUT,PA4110020,0.53,mg/L,260,21,
Cambria,2010,N E TRAILER COURT,PA4110010,0.1,mg/L,81,21,
Cambria,2010,CAPTAINS QUARTERS,PA4110025,0.25,mg/L,35,21,
Cambria,2010,HASTINGS MUNI AUTH,PA4110013,0.1,mg/L,"1,670",21,
Cambria,2010,NORTHERN CAMBRIA MUNI WAT,PA4110003,0.1,mg/L,"2,770",21,
Cambria,2010,W CARROLL TWP W&S AUTH ST,PA4110061,2.26,mg/L,325,21,
Cambria,2010,COUNTRY LIVING ESTATES IN,PA4110028,0.13,mg/L,25,21,
Cambria,2010,PATTON BORO WATER DEPT,PA4110024,1.19,mg/L,"2,250",21,
Cambria,2010,CAMBRIA TWP WATER AUTH,PA4110006,1.9,mg/L,"1,050",21,
Cambria,2010,CARROLLTOWN BORO MUNI AUT,PA4110004,0.5,mg/L,"1,047",21,
Cambria,2010,DEAN TWP WATER SYS,PA4110042,0.1,mg/L,175,21,
Cambria,2010,KINGS II MOBILE HOME PARK,PA4110005,0.82,mg/L,209,21,
Cambria,2010,WEST CARROLL W&S AUTH BAK,PA4110058,0.9,mg/L,905,21,
Cambria,2010,PORTAGE BORO MUNI AUTH,PA4110027,1.2,mg/L,"7,500",21,
Cambria,2010,EBENSBURG BORO MUNI AUTH,PA4110009,0.1,mg/L,"6,000",21,
Cambria,2010,GALLITZIN BORO WATER AUTH,PA4110011,0.1,mg/L,"3,130",21,
Cambria,2010,TEAKETTLE RUN WATER AUTH,PA4110001,0.25,mg/L,110,21,
Cambria,2010,NANTY GLO WATER AUTH,PA4110023,0.1,mg/L,"4,060",21,
Cambria,2010,FEDERAL CORR INSTITUTE LO,PA4110067,0.25,mg/L,"1,500",21,
Cambria,2010,GLENDALE VALLEY MUNICIPAL,PA4110060,0.25,mg/L,"2,000",21,
Cambria,2010,HIGHLAND S & W AUTH LLOYD,PA4110015,0.1,mg/L,805,21,
Cambria,2010,READE TWP MUNI AUTH,PA4110297,0.1,mg/L,"1,746",21,
Cambria,2010,CRESSON TWP MUNI AUTH,PA4110038,0.1,mg/L,"4,475",21,
Cambria,2010,GREATER JOHNSTOWN WATER A,PA4110014,0.43,mg/L,"45,740",21,
Cameron,2010,DRIFTWOOD BOROUGH,PA6120001,0.25,mg/L,258,23,
Cameron,2010,EMPORIUM WATER COMPANY,PA6120002,0.1,mg/L,"3,660",23,
Carbon,2010,BLUE MOUNTAIN VIEW,PA3130050,2.34,mg/L,114,25,
Carbon,2010,CREEKSIDE MANOR M H P,PA3130027,0.1,mg/L,92,25,
Carbon,2010,MAHONING MANOR ESTATES,PA3130031,0.08,mg/L,90,25,
Carbon,2010,JIM THORPE BOROUGH WATER,PA3130044,0.63,mg/L,"2,274",25,
Carbon,2010,JIM THORPE BOROUGH WATER,PA3130043,0.1,mg/L,"2,853",25,
Carbon,2010,BLUE HERON HOMEOWNERS ASS,PA3130040,0.73,mg/L,450,25,
Carbon,2010,NORTHSIDE HEIGHTS ESTATES,PA3130051,0.1,mg/L,350,25,
Carbon,2010,SUMMIT MANAGEMENT UTILITI,PA3130053,4.4,mg/L,500,25,
Carbon,2010,NESQUEHONING BORO WATER A,PA3130026,0.69,mg/L,"2,850",25,
Carbon,2010,PALMERTON MUNICIPAL AUTHO,PA3130012,2.38,mg/L,"7,000",25,
Carbon,2010,NATHANS HAMLET,PA3130052,1.28,mg/L,60,25,
Carbon,2010,SUMMIT HILL WATER AUTHORI,PA3130013,0.1,mg/L,"2,890",25,
Carbon,2010,WEINERS MHP,PA3130029,5.48,mg/L,90,25,
Carbon,2010,MID LAKES DEVELOPMENT,PA3130037,0.1,mg/L,465,25,
Carbon,2010,SPRINGHILL MOBILE HOME PA,PA3130017,0.03,mg/L,130,25,
Carbon,2010,LEHIGHTON WATER AUTHORITY,PA3130009,0.1,mg/L,"9,000",25,
Carbon,2010,CARBON COUNTY PRISON,PA3130049,0.1,mg/L,125,25,
Carbon,2010,BOWMANSTOWN AUTHORITY,PA3130021,0.91,mg/L,900,25,
Carbon,2010,CHESTNUT RIDGE MHP,PA3130011,3.72,mg/L,152,25,
Carbon,2010,COUNTRY CLUB ESTATES COND,PA3130035,0.1,mg/L,41,25,
Carbon,2010,CYPRESS PARK,PA3130022,0.1,mg/L,210,25,
Carbon,2010,LANSFORD COALDALE JT WATE,PA3130004,0.1,mg/L,"9,300",25,
Carbon,2010,NIS HOLLOW ESTATES,PA3130006,0.83,mg/L,325,25,
Carbon,2010,WEATHERLY BORO MUN AUTH,PA3130015,1.23,mg/L,"2,612",25,
Carbon,2010,MAHONING VALLEY CONVALESC,PA3130008,0.1,mg/L,145,25,
Carbon,2010,GOLDEN OAKS,PA3130054,0.1,mg/L,35,25,
Carbon,2010,D WATER COMPANY,PA3130030,1.4,mg/L,150,25,
Carbon,2010,BEAVER RUN WATER ASSOCIAT,PA3130038,0.17,mg/L,50,25,
Centre,2010,ORVISTON WATER ASSOC INC,PA4140104,0.38,mg/L,125,27,
Centre,2010,NITTANY GROVE MOBILE HOME,PA4140057,0.82,mg/L,35,27,
Centre,2010,ROCK SPRING WATER CO,PA4140085,0.73,mg/L,"1,000",27,
Centre,2010,COLLEGE TWP. WATER AUTHOR,PA4140082,3.88,mg/L,"6,000",27,
Centre,2010,HALFMOON WATER ASSOCIATIO,PA4140123,0.1,mg/L,130,27,
Centre,2010,SPRING TWP WATER AUTHORIT,PA4140118,2.39,mg/L,"2,500",27,
Centre,2010,MOUNT EAGLE WATER ASSOC,PA4140014,0.5,mg/L,90,27,
Centre,2010,MILLHEIM BOROUGH WATER CO,PA4140084,0.25,mg/L,780,27,
Centre,2010,GREGG TOWNSHIP WATER AUTH,PA4140107,3.42,mg/L,700,27,
Centre,2010,HAINES AARONSBURG MUN AUT,PA4140108,0.25,mg/L,515,27,
Centre,2010,HAINES WOODWARD MUNICIPAL,PA4140094,0.25,mg/L,139,27,
Centre,2010,MADISONBURG WATER WORKS,PA4140111,0.51,mg/L,230,27,
Centre,2010,HAMPTON HILLS BENNER TWP,PA4140131,3.24,mg/L,25,27,
Centre,2010,PORT MATILDA WATERWORKS,PA4140088,0.25,mg/L,662,27,
Centre,2010,RIDGE CREST COMMUNITY,PA4140124,1.33,mg/L,330,27,
Centre,2010,MONUMENT WATER ASSOC,PA4140110,0.5,mg/L,200,27,
Centre,2010,BOROUGH OF HOWARD,PA4140080,0.68,mg/L,"1,100",27,
Centre,2010,UPPER HALFMOON WATER,PA4140109,2.19,mg/L,"1,400",27,
Centre,2010,MARTHA FURNACE MOBILEHOME,PA4140043,0.25,mg/L,100,27,
Centre,2010,SALEM HILL HAVEN HOME,PA4140127,1.21,mg/L,32,27,
Centre,2010,PAWC NITTANY,PA4140081,2.29,mg/L,"1,500",27,
Centre,2010,OAK RIDGE AUTHORITY,PA4140119,0.25,mg/L,700,27,
Centre,2010,GROVE PARK BENNER TWP H2O,PA4140133,7.79,mg/L,25,27,
Centre,2010,MILESBURG BOROUGH WATER A,PA4140083,1.85,mg/L,"2,750",27,
Centre,2010,MT TOP REGIONAL WATER AUT,PA4140090,0.1,mg/L,875,27,
Centre,2010,BOGGS TWP WATER SYSTEM PA,PA4140101,2.21,mg/L,300,27,
Centre,2010,UNIONVILLE MUNICIPAL WATE,PA4140079,0.25,mg/L,475,27,
Centre,2010,PINE GLEN WATER ASSOCIATI,PA4140102,0.1,mg/L,300,27,
Centre,2010,WALKER TWP WATER ASSOC,PA4140120,4.5,mg/L,"2,310",27,
Centre,2010,MILES TWP WATER AUTH EAST,PA4140089,0.25,mg/L,500,27,
Centre,2010,LONGVIEW MOBILE HOME PARK,PA4140048,0.25,mg/L,86,27,
Centre,2010,PENN TWP WATER DIST,PA4140078,0.63,mg/L,300,27,
Centre,2010,ROCKVIEW,PA4140098,2.79,mg/L,"2,761",27,
Centre,2010,PENN STATE UNIV.,PA4140095,2.55,mg/L,"37,000",27,
Centre,2010,TROTTER FARMS,PA4140132,5.13,mg/L,70,27,
Centre,2010,CENTRE HALL BORO WATER DE,PA4140077,7.47,mg/L,"1,580",27,
Centre,2010,BLACK HAWK MOBILE HOME PA,PA4140046,6.15,mg/L,250,27,
Centre,2010,PA AMER WATER   PHILIPSBU,PA4140087,0.11,mg/L,"20,095",27,
Centre,2010,COUNTRY CLUB PARK,PA4140125,4.35,mg/L,81,27,
Centre,2010,BELLEFONTE BOROUGH WATER,PA4140075,1.83,mg/L,"9,998",27,
Centre,2010,EMPIRE MOBILE HOME PARK,PA4140092,0.25,mg/L,75,27,
Centre,2010,STATE COLLEGE BORO WATER,PA4140096,3.56,mg/L,"47,000",27,
Centre,2010,Unknown,Unknown,0.5,mg/L,0,27,
Chester,2010,PHOENIXVILLE WATER DEPT,PA1150077,2.9,mg/L,"16,438",29,
Chester,2010,SPRING RUN ESTATES WTP,PA1150216,5.5,mg/L,450,29,
Chester,2010,PA AMERICAN COATESVILLE,PA1150106,2.92,mg/L,"35,600",29,
Chester,2010,DOE RUN MOBILE HOME PARK,PA1150224,6.61,mg/L,25,29,
Chester,2010,MALVERN COURTS INC,PA1150011,1.21,mg/L,250,29,
Chester,2010,COVENTRY MANOR NURSING HO,PA1150078,0.5,mg/L,70,29,
Chester,2010,AQUA PA SPRING RUN,PA1150089,3,mg/L,"6,046",29,
Chester,2010,LOAGS CORNER MOBILE HOME,PA1150030,5.7,mg/L,130,29,
Chester,2010,LAZY ACRES MOBILE HOME PA,PA1150048,2.22,mg/L,120,29,
Chester,2010,MAPLEWOOD MOBILE HOME PAR,PA1150017,6.6,mg/L,70,29,
Chester,2010,CAMP HILL SOLTANE,PA1150223,4.03,mg/L,100,29,
Chester,2010,WEST GROVE BOROUGH,PA1150105,7.59,mg/L,"2,873",29,
Chester,2010,MT IDY MOBILE HOME PARK,PA1150020,0.5,mg/L,104,29,
Chester,2010,TEL HAI REST HOME,PA1150044,6.23,mg/L,630,29,
Chester,2010,LAKE ROAD MOBILE HOME PAR,PA1150208,5.98,mg/L,40,29,
Chester,2010,COATESVILLE VETERANS ADM,PA1150186,2.7,mg/L,"2,000",29,
Chester,2010,BOROUGH OF AVONDALE,PA1150005,3.86,mg/L,"1,108",29,
Chester,2010,LONGWOOD GARDENS,PA1150131,1.9,mg/L,250,29,
Chester,2010,WARWICK MOBILE HOME PARK,PA1150081,3.2,mg/L,100,29,
Chester,2010,CAMP HILL SPECIAL SCHOOL,PA1150039,6.14,mg/L,140,29,
Chester,2010,COVENTRY TERRACE,PA1150069,5.35,mg/L,250,29,
Chester,2010,BOROUGH OF ATGLEN,PA1150109,3,mg/L,"1,200",29,
Chester,2010,PA AMERICAN WATER COMPANY,PA1150166,4.08,mg/L,"44,000",29,
Chester,2010,LONDONDERRY COURT,PA1150019,9.45,mg/L,165,29,
Chester,2010,VALLEY SPRINGS WATER CO,PA1150185,3.4,mg/L,"1,500",29,
Chester,2010,NOTTINGHAM TOWERS APARTME,PA1150213,3.32,mg/L,175,29,
Chester,2010,WESTTOWN SCHOOL,PA1150834,6.48,mg/L,900,29,
Chester,2010,LINCOLN CREST MOBILE HOME,PA1150082,5.08,mg/L,390,29,
Chester,2010,ST STEPHENS GREEN,PA1150210,2.4,mg/L,130,29,
Chester,2010,COCHRANVILLE MHP,PA1150202,9.66,mg/L,99,29,
Chester,2010,RIDGLEA,PA1150215,0.24,mg/L,600,29,
Chester,2010,AQUA PA WEST CHESTER,PA1150098,2.8,mg/L,"35,000",29,
Chester,2010,AQUA PA FRANKLIN,PA1150126,0.1,mg/L,329,29,
Chester,2010,AQUA PA HONEYBROOK,PA1150195,3.85,mg/L,"1,200",29,
Chester,2010,OXFORD BOROUGH,PA1150066,4.73,mg/L,"5,250",29,
Chester,2010,DEVEREUX FOUNDATION GLEN,PA1150037,2.6,mg/L,300,29,
Chester,2010,KENNETT SQUARE MUN WATER,PA1150108,3.95,mg/L,"5,782",29,
Chester,2010,CHATHAM ACRES NURSING HOM,PA1150007,8.36,mg/L,120,29,
Chester,2010,ST MARYS OF PROVIDENCE,PA1150029,3.5,mg/L,43,29,
Chester,2010,AVONWHEEL ESTATE MHP,PA1150004,5.3,mg/L,300,29,
Chester,2010,WARWICK WATER WORKS,PA1150157,0.9,mg/L,98,29,
Chester,2010,INDEPENDENCE PARK,PA1150183,6.98,mg/L,91,29,
Chester,2010,WETHERILL ESTATES,PA1150209,6.8,mg/L,250,29,
Chester,2010,OXFORD VILLAGE MOBILE HOM,PA1150102,3.4,mg/L,672,29,
Chester,2010,HIDEAWAY MOBILE HOME PARK,PA1150049,2.48,mg/L,150,29,
Chester,2010,CALN MOBILE HOME PARK,PA1150150,4.75,mg/L,30,29,
Chester,2010,RIDGEVIEW MOBILE HOMES,PA1150200,2.17,mg/L,55,29,
Chester,2010,RIVEREDGE,PA1150190,4.75,mg/L,80,29,
Chester,2010,CAMPHILL VILLAGE USA INC,PA1150168,7.89,mg/L,120,29,
Chester,2010,WOODBROOKE WATER AUTHORIT,PA1150164,0.7,mg/L,100,29,
Chester,2010,GREGORY COURTS INC,PA1150046,2.4,mg/L,67,29,
Chester,2010,PERRY PHILLIPS MOBILE HOM,PA1150189,3.36,mg/L,60,29,
Chester,2010,SHADY GROVE MOBILE HOME P,PA1150145,5.9,mg/L,129,29,
Chester,2010,AQUA PA FRIENDSHIP,PA1150137,3.14,mg/L,"2,600",29,
Chester,2010,MARTINS MOBILE HOME PARK,PA1150144,5.54,mg/L,180,29,
Chester,2010,SHADYSIDE MHP,PA1150064,6.37,mg/L,35,29,
Chester,2010,APPLEVILLE MOBILE HOME PA,PA1150094,3.99,mg/L,450,29,
Chester,2010,AQUA PA WILLOWDALE,PA1150205,5.23,mg/L,"2,898",29,
Chester,2010,NOTTINGHAM MANOR M H  COU,PA1150177,5.71,mg/L,513,29,
Chester,2010,TAYLORS MOBILEHOME PARK,PA1150015,1.41,mg/L,90,29,
Chester,2010,ECHO VALLEY MHP,PA1150065,6.6,mg/L,60,29,
Chester,2010,ELVERSON WATER COMPANY,PA1150191,5.19,mg/L,"1,540",29,
Chester,2010,HIGHLAND COURT,PA1150070,5.55,mg/L,44,29,
Chester,2010,STONE BARN RENTALS,PA1150204,2.04,mg/L,75,29,
Chester,2010,HONEY BROOK BORO WATER,PA1150127,3.01,mg/L,"2,521",29,
Chester,2010,STONY RUN MOBILE HOME PAR,PA1150083,5.09,mg/L,200,29,
Chester,2010,BRANDYWINE TERRACE MHP,PA1150045,2.3,mg/L,125,29,
Chester,2010,KEYSTONE COURT,PA1150047,4.99,mg/L,116,29,
Chester,2010,AQUA PA UWCHLAN,PA1150035,2.72,mg/L,"22,000",29,
Chester,2010,IMPERIAL MOBILE HOME PARK,PA1150013,3.91,mg/L,151,29,
Chester,2010,DOWNINGTOWN WATER AUTHORI,PA1150026,2.4,mg/L,"9,900",29,
Chester,2010,PHILLIPS MUSHROOM FARMS,PA1150214,4.08,mg/L,75,29,
Chester,2010,VALLEY VIEW MOBILE HOME P,PA1150052,3.88,mg/L,429,29,
Clarion,2010,LUCINDA WATER CO,PA6160039,0.5,mg/L,200,31,
Clarion,2010,ST PETERSBURG MUNICIPAL W,PA6160013,0.1,mg/L,450,31,
Clarion,2010,FRYBURG WATER COMPANY,PA6160030,0.1,mg/L,490,31,
Clarion,2010,HAWTHORN AREA WATER AUTHO,PA6160026,0.1,mg/L,"1,300",31,
Clarion,2010,REDBANK VALLEY MUN AUTH,PA6160010,0.1,mg/L,"2,305",31,
Clarion,2010,KNOX WATER WORKS,PA6160005,0.5,mg/L,"1,392",31,
Clarion,2010,PERRYVILLE WATER ASSOCIAT,PA6160011,1.41,mg/L,120,31,
Clarion,2010,EAST BRADY WATER SYSTEM,PA6160003,1.62,mg/L,"1,040",31,
Clarion,2010,PA AMERICAN WATER CO CLAR,PA6160001,0.33,mg/L,"16,600",31,
Clarion,2010,FOXBURG AREA WATER & SEWE,PA6160004,1.6,mg/L,290,31,
Clarion,2010,W FREEDOM WATER ASSN,PA6160021,0.1,mg/L,250,31,
Clarion,2010,HARTZELL MOBILEHOME PARK,PA6160020,1.9,mg/L,72,31,
Clarion,2010,CORNER WATER SUPPLY & SER,PA6160027,0.5,mg/L,"1,400",31,
Clearfield,2010,CLEARFIELD MUNICIPAL AUTH,PA6170008,0.1,mg/L,"14,000",33,
Clearfield,2010,BECCARIA COALPORT IRVONA,PA6170052,0.25,mg/L,"1,232",33,
Clearfield,2010,BURNSIDE BORO WATER SYSTE,PA6170004,0.1,mg/L,325,33,
Clearfield,2010,COVINGTON KARTHAUS GIRARD,PA6170045,0.1,mg/L,"1,600",33,
Clearfield,2010,COUNTRY PLACE MHP,PA6170018,0.5,mg/L,225,33,
Clearfield,2010,WESTOVER MUNICIPAL AUTHOR,PA6170040,0.1,mg/L,456,33,
Clearfield,2010,TOTAL ENVIRONMENTAL SOLUT,PA6170048,0.1,mg/L,"3,540",33,
Clearfield,2010,ANSONVILLE WATER AUTHORIT,PA6170003,1.03,mg/L,55,33,
Clearfield,2010,QUEHANNA MOTIVATIONAL BOO,PA6170345,0.25,mg/L,350,33,
Clearfield,2010,IRVONA MUNICIPAL AUTHORIT,PA6170025,0.1,mg/L,"1,980",33,
Clearfield,2010,HOUTZDALE MUNICIPAL AUTHO,PA6170023,0.25,mg/L,"6,200",33,
Clearfield,2010,BRADY TWP WATER ASSOCIATI,PA6170036,0.1,mg/L,"1,570",33,
Clearfield,2010,CITY OF DUBOIS WATER DEPA,PA6170016,0.25,mg/L,"9,000",33,
Clearfield,2010,COOPER TWP MUNICIPAL AUTH,PA6170041,0.1,mg/L,"3,576",33,
Clearfield,2010,PIKE TWP MUNICIPAL AUTHOR,PA6170013,0.1,mg/L,"4,500",33,
Clinton,2010,OAKRIDGE PERSONAL CARE HO,PA4180071,0.1,mg/L,37,35,
Clinton,2010,BEECH CREEK BOROUGH AUTHO,PA4180035,1.49,mg/L,"1,800",35,
Clinton,2010,EASTVILLE WATER ASSOCIATI,PA4180050,0.1,mg/L,65,35,
Clinton,2010,LOGANTON BORO WATER SYSTE,PA4180052,0.25,mg/L,475,35,
Clinton,2010,CENT CLINTON CO WATER FIL,PA4180070,0.19,mg/L,"19,261",35,
Clinton,2010,GREENBURR WATER ASSOCIATI,PA4180051,0.1,mg/L,115,35,
Clinton,2010,SOUTH RENOVO WATER SYSTEM,PA4180059,0.1,mg/L,676,35,
Clinton,2010,PORTER TOWNSHIP MUNICIPAL,PA4180055,0.18,mg/L,425,35,
Clinton,2010,BALD EAGLE WILDERNESS BOY,PA4180069,0.1,mg/L,43,35,
Clinton,2010,RENOVO BOROUGH WATER DEPT,PA4180058,0.1,mg/L,"1,800",35,
Clinton,2010,CRAWFORD TOWNSHIP AUTHORI,PA4180062,0.23,mg/L,600,35,
Clinton,2010,APPALACHIAN UTILITIES INC,PA4180067,1.88,mg/L,"3,000",35,
Clinton,2010,BOONEVILLE MUTUAL WATER A,PA4180066,0.1,mg/L,87,35,
Clinton,2010,ROTE MUTUAL WATER ASSOCIA,PA4180064,0.1,mg/L,481,35,
Columbia,2010,BENTON MUNICIPAL WATER AU,PA4190014,2.43,mg/L,"1,100",37,
Columbia,2010,MILLVILLE MUNICIPAL AUTHO,PA4190017,0.58,mg/L,969,37,
Columbia,2010,BALANCED CARE AT BLOOMSBU,PA4190026,6.57,mg/L,60,37,
Columbia,2010,PA AMERICAN WATER BERWICK,PA4190013,4.82,mg/L,"16,000",37,
Columbia,2010,CATAWISSA MUNICIPAL WATER,PA4190011,3.32,mg/L,"1,644",37,
Columbia,2010,ORANGEVILLE N & R CENTER,PA4190285,4.21,mg/L,118,37,
Columbia,2010,ORANGEVILLE MUNICIPAL WAT,PA4190012,2,mg/L,480,37,
Columbia,2010,MOUNTAIN VIEW ESTATES,PA4190021,0.9,mg/L,80,37,
Columbia,2010,PLEASANT VIEW ESTATES,PA4190296,1.99,mg/L,390,37,
Columbia,2010,UNITED WATER PA  COL CO I,PA4190840,2.42,mg/L,138,37,
Columbia,2010,COUNTRY TERRACE ESTATES,PA4190298,0.62,mg/L,61,37,
Columbia,2010,MIFFLIN TWP WATER AUTHORI,PA4190016,2.66,mg/L,900,37,
Columbia,2010,STONY BROOK CIRCLE MHP,PA4190020,0.05,mg/L,400,37,
Columbia,2010,HERITAGE HILLSIDE ESTATES,PA4190289,0.65,mg/L,90,37,
Columbia,2010,HELLERS MOBILE HOME PARK,PA4190286,0.1,mg/L,47,37,
Columbia,2010,BROOKSIDE VILLAGE MHP,PA4190019,5.72,mg/L,475,37,
Columbia,2010,UNITED WATER PA BLOOMSBUR,PA4190008,0.7,mg/L,"21,500",37,
Columbia,2010,WONDERVIEW WATER CO,PA4190015,0.05,mg/L,350,37,
Crawford,2010,CONNEAUT LAKE PARK WATER,PA6200018,0.1,mg/L,250,39,
Crawford,2010,FOUNTAIN HOUSE TRAILER CO,PA6200044,0.25,mg/L,144,39,
Crawford,2010,FOREST GREEN ESTATES,PA6200067,0.1,mg/L,250,39,
Crawford,2010,CONNEAUTVILLE BORO WATER,PA6200019,0.1,mg/L,"1,040",39,
Crawford,2010,HAYFIELD ESTATES MOBILE H,PA6200049,0.1,mg/L,200,39,
Crawford,2010,COCHRANTON BORO WATER DEP,PA6200008,0.75,mg/L,"1,175",39,
Crawford,2010,DORAL ESTATES MOBILE HOME,PA6200010,0.1,mg/L,160,39,
Crawford,2010,COUNTRYSIDE MHP,PA6200028,0.1,mg/L,119,39,
Crawford,2010,CRESTVIEW MOBILE HOME PAR,PA6200033,0.1,mg/L,75,39,
Crawford,2010,CONNEAUT LAKE BOROUGH WTP,PA6200015,0.1,mg/L,740,39,
Crawford,2010,TITUSVILLE ESTATES,PA6200053,0.1,mg/L,44,39,
Crawford,2010,MEADVILLE HOUSING NORTHGA,PA6200035,0.1,mg/L,256,39,
Crawford,2010,EAGLE CREST MANOR MHP,PA6200074,0.1,mg/L,88,39,
Crawford,2010,DENNY RIDGE MOBILE HOME P,PA6200037,0.26,mg/L,53,39,
Crawford,2010,PENN LAKE VILLAGE,PA6200013,0.1,mg/L,85,39,
Crawford,2010,MEADVILLE AREA WATER AUTH,PA6200036,0.11,mg/L,"16,000",39,
Crawford,2010,AMES TRAILER COURT,PA6200054,0.18,mg/L,73,39,
Crawford,2010,WOODLANDS MOBILE HOME PAR,PA6200039,0.11,mg/L,160,39,
Crawford,2010,PINEDALE MOBILE HOME PARK,PA6200076,0.1,mg/L,90,39,
Crawford,2010,TITUSVILLE MUNICIPAL WATE,PA6200051,0.46,mg/L,"6,346",39,
Crawford,2010,MITCHELL LAKE MOBILE HOME,PA6200002,0.1,mg/L,100,39,
Crawford,2010,LAKEVIEW MANOR MHP,PA6200031,0.1,mg/L,150,39,
Crawford,2010,AQUA PA CRAWFORD DIV,PA6200014,0.1,mg/L,"1,240",39,
Crawford,2010,VICTORIA ESTATES MHP,PA6200065,0.1,mg/L,78,39,
Crawford,2010,SAEGERTOWN BOROUGH,PA6200043,0.86,mg/L,"1,086",39,
Crawford,2010,COUNTRY VILLAGE MOBILE ES,PA6430064,0.1,mg/L,97,39,
Crawford,2010,CAMBRIDGE SPRINGS BOROUGH,PA6200004,0.15,mg/L,"2,400",39,
Crawford,2010,COUNTRY ACRES MOBILE HOME,PA6200023,0.1,mg/L,96,39,
Crawford,2010,TIMBERCREST APARTMENTS,PA6200066,0.12,mg/L,200,39,
Crawford,2010,GUYS MILLS MUTUAL WATER A,PA6200062,6.38,mg/L,100,39,
Crawford,2010,AUTUMN HILLS WATER COMPAN,PA6200071,0.56,mg/L,338,39,
Crawford,2010,HYDETOWN PARK WEST,PA6200052,0.96,mg/L,60,39,
Crawford,2010,WOODLAND HEIGHTS APARTMEN,PA6200063,0.1,mg/L,75,39,
Crawford,2010,ELDERBERRY MHP,PA6200078,0.1,mg/L,100,39,
Crawford,2010,LINESVILLE MUNICIPAL AUTH,PA6200027,3.38,mg/L,"1,200",39,
Crawford,2010,HYDETOWN PARK EAST,PA6200020,1.93,mg/L,75,39,
Crawford,2010,STAR ROUTE ESTATES,PA6200040,0.1,mg/L,82,39,
Crawford,2010,SPRINGBORO AREA WATER AUT,PA6200050,0.1,mg/L,505,39,
Cumberland,2010,CONODOGUINET MOBILE EST,PA7210061,0.1,mg/L,265,41,
Cumberland,2010,HODGES MHP,PA7210068,0.1,mg/L,110,41,
Cumberland,2010,SOUTHAMPTON MANOR MHP,PA7210066,0.7,mg/L,145,41,
Cumberland,2010,MT HOLLY SPRINGS BORO AUT,PA7210037,1.7,mg/L,"3,244",41,
Cumberland,2010,WILLIAMS GROVE MHP,PA7210034,1.9,mg/L,282,41,
Cumberland,2010,BETTY NELSON MHP,PA7210013,1,mg/L,170,41,
Cumberland,2010,REGENCY WOODS MHP,PA7210057,0.1,mg/L,450,41,
Cumberland,2010,HILLSIDE MHP,PA7210022,0.1,mg/L,54,41,
Cumberland,2010,UNITED WATER PA MECHANICS,PA7210028,3.93,mg/L,"27,381",41,
Cumberland,2010,AQUA PA WHITE ROCK ACRES,PA7210048,0.1,mg/L,819,41,
Cumberland,2010,UNITED WATER PA CENTER SQ,PA7210054,1.13,mg/L,"1,556",41,
Cumberland,2010,CARLISLE WATER TRMT PLT,PA7210002,4.27,mg/L,"19,800",41,
Cumberland,2010,HARMONY ESTATES MHP,PA7210003,0.1,mg/L,80,41,
Cumberland,2010,NEWVILLE BORO WATER AUTH,PA7210041,7.9,mg/L,"2,055",41,
Cumberland,2010,VIEW MOUNTAIN MHP,PA7210060,5.38,mg/L,80,41,
Cumberland,2010,PA AMERICAN WATER CO WEST,PA7210029,3.34,mg/L,"93,368",41,
Cumberland,2010,SOUTH MIDDLETON TWP WATER,PA7210050,3.77,mg/L,"10,068",41,
Cumberland,2010,CREEK VIEW MOBILE HOME CO,PA7210001,0.1,mg/L,60,41,
Cumberland,2010,BIG SPRING TERRACE MHP,PA7210039,6.88,mg/L,412,41,
Cumberland,2010,SHIPPENSBURG BORO WATER A,PA7210043,1.34,mg/L,"13,018",41,
Cumberland,2010,MIDDLESEX TWP MUNI AUTH,PA7210063,8.9,mg/L,"3,280",41,
Cumberland,2010,SOUTHERN CUMBERLAND WATER,PA7210053,4.68,mg/L,150,41,
Cumberland,2010,US ARMY GARRISON,PA7210010,4.33,mg/L,"2,545",41,
Cumberland,2010,MT VIEW TERRACE MHP,PA7210059,0.1,mg/L,179,41,
Cumberland,2010,BLUE MOUNTAIN HEIGHTS MHP,PA7210056,0.1,mg/L,162,41,
Cumberland,2010,COUNTRY VIEW EST,PA7210065,0.1,mg/L,330,41,
Cumberland,2010,N MIDDLETON WATER AUTH,PA7210049,4.18,mg/L,"7,400",41,
Cumberland,2010,UNITED WATER PA GRANTHAM,PA7210027,4.42,mg/L,"3,855",41,
Cumberland,2010,STATE CORRECTIONAL INST,PA7210046,4.58,mg/L,"4,658",41,
Dauphin,2010,MIDDLETOWN BORO WATER AUT,PA7220038,4.01,mg/L,"9,254",43,
Dauphin,2010,CRESTVIEW VILLAGE MHP,PA7220024,4.3,mg/L,293,43,
Dauphin,2010,STROHECKER MHP,PA7220009,4.4,mg/L,250,43,
Dauphin,2010,LYKENS BORO AUTH,PA7220022,0.95,mg/L,"3,225",43,
Dauphin,2010,ELIZABETH AREA AUTH,PA7220003,0.1,mg/L,"3,000",43,
Dauphin,2010,ALEX ACRES MHP,PA7220007,0.1,mg/L,108,43,
Dauphin,2010,OAK KNOLL EST MHP,PA7220001,6.49,mg/L,350,43,
Dauphin,2010,HARRISBURG MUNI WATER AUT,PA7220049,0.1,mg/L,"66,540",43,
